0 [1, 0.0, 0.5] 4 -0.6666666666666666 [2, 0.0, 0.5]
1 [2, 0.0, 0.5] 3 -0.7 [2, 0.2, 0.6]
2 [2, 0.2, 0.6] 2 -0.7 [2, 0.0, 0.6]
3 [2, 0.0, 0.6] 3 -0.5870374375558162 [2, 0.0, 0.7]
4 [2, 0.0, 0.7] 0 -0.6166666666666667 [1, 0.1, 0.7]
5 [1, 0.1, 0.7] 4 -0.7333333333333333 [2, 0.0, 0.7]
6 [2, 0.0, 0.7] 0 -0.11666666666666665 [1, 0.1, 0.7]
7 [1, 0.1, 0.7] 4 -0.7333333333333333 [2, 0.0, 0.7]
8 [2, 0.0, 0.7] 1 -0.7 [2, 0.1, 0.6]
9 [2, 0.1, 0.6] 4 -0.8 [3, 0.1, 0.6]
10 [3, 0.1, 0.6] 0 -0.7 [2, 0.1, 0.6]
11 [2, 0.1, 0.6] 4 -0.8 [3, 0.2, 0.6]
12 [3, 0.2, 0.6] 4 -0.3 [3, 0.0, 0.6]
13 [3, 0.0, 0.6] 2 -0.3 [3, 0.0, 0.6]
14 [3, 0.0, 0.6] 2 -0.3 [3, 0.0, 0.6]
15 [3, 0.0, 0.6] 1 -0.75 [3, 0.2, 0.5]
16 [3, 0.2, 0.5] 2 -0.25 [3, 0.0, 0.5]
17 [3, 0.0, 0.5] 4 -0.25 [3, 0.0, 0.5]
18 [3, 0.0, 0.5] 1 -0.20000000000000004 [3, 0.4, 0.4]
19 [3, 0.4, 0.4] 4 -0.20000000000000004 [3, 0.1, 0.4]
20 [3, 0.1, 0.4] 4 -0.20000000000000004 [3, 0.1, 0.4]
21 [3, 0.1, 0.4] 4 -0.7000000000000001 [3, 0.0, 0.4]
22 [3, 0.0, 0.4] 2 -0.20000000000000004 [3, 0.1, 0.4]
23 [3, 0.1, 0.4] 0 -0.6333333333333333 [2, 0.1, 0.4]
24 [2, 0.1, 0.4] 0 -0.5666666666666667 [1, 0.1, 0.4]
25 [1, 0.1, 0.4] 4 -0.6333333333333333 [2, 0.1, 0.4]
26 [2, 0.1, 0.4] 0 -0.06666666666666667 [1, 0.0, 0.4]
27 [1, 0.0, 0.4] 3 -0.08333333333333333 [1, 0.5, 0.5]
28 [1, 0.5, 0.5] 3 -0.6 [1, 0.1, 0.6]
29 [1, 0.1, 0.6] 4 -0.7 [2, 0.1, 0.6]
30 [2, 0.1, 0.6] 4 -0.8 [3, 0.0, 0.6]
31 [3, 0.0, 0.6] 2 -0.8 [3, 0.1, 0.6]
32 [3, 0.1, 0.6] 0 -0.19999999999999998 [2, 0.0, 0.6]
33 [2, 0.0, 0.6] 4 -0.7549497191509329 [3, 0.0, 0.6]
34 [3, 0.0, 0.6] 2 -0.3 [3, 0.0, 0.6]
35 [3, 0.0, 0.6] 2 -0.3 [3, 0.0, 0.6]
36 [3, 0.0, 0.6] 0 -0.6925726809590722 [2, 0.0, 0.6]
37 [2, 0.0, 0.6] 4 -0.6259197178775708 [3, 0.1, 0.6]
38 [3, 0.1, 0.6] 1 -0.7325213500010013 [3, 0.3, 0.5]
39 [3, 0.3, 0.5] 2 -0.75 [3, 0.1, 0.5]
40 [3, 0.1, 0.5] 4 -0.25 [3, 0.3, 0.5]
41 [3, 0.3, 0.5] 2 -0.75 [3, 0.0, 0.5]
42 [3, 0.0, 0.5] 4 -0.25 [3, 0.0, 0.5]
43 [3, 0.0, 0.5] 4 -0.25 [3, 0.0, 0.5]
44 [3, 0.0, 0.5] 1 -0.7000000000000001 [3, 0.3, 0.4]
45 [3, 0.3, 0.4] 1 -0.20000000000000004 [3, 0.2, 0.4]
46 [3, 0.2, 0.4] 4 -0.20000000000000004 [3, 0.1, 0.4]
47 [3, 0.1, 0.4] 1 -0.20000000000000004 [3, 0.0, 0.4]
48 [3, 0.0, 0.4] 2 -0.20000000000000004 [3, 0.0, 0.4]
49 [3, 0.0, 0.4] 4 -0.20000000000000004 [3, 0.1, 0.4]
50 [3, 0.1, 0.4] 0 -0.13333333333333333 [2, 0.0, 0.4]
51 [2, 0.0, 0.4] 1 -0.13333333333333333 [2, 0.2, 0.4]
52 [2, 0.2, 0.4] 3 -0.6666666666666666 [2, 0.2, 0.5]
53 [2, 0.2, 0.5] 1 -0.6333333333333333 [2, 0.2, 0.4]
54 [2, 0.2, 0.4] 0 -0.5666666666666667 [1, 0.2, 0.4]
55 [1, 0.2, 0.4] 3 -0.5833333333333334 [1, 0.1, 0.5]
56 [1, 0.1, 0.5] 2 -0.5833333333333334 [1, 0.1, 0.5]
57 [1, 0.1, 0.5] 2 -0.08333333333333333 [1, 0.1, 0.5]
58 [1, 0.1, 0.5] 2 -0.08333333333333333 [1, 0.1, 0.5]
59 [1, 0.1, 0.5] 4 -0.6666666666666666 [2, 0.0, 0.5]
60 [2, 0.0, 0.5] 1 -0.6333333333333333 [2, 0.0, 0.4]
61 [2, 0.0, 0.4] 4 -0.7000000000000001 [3, 0.1, 0.4]
62 [3, 0.1, 0.4] 4 -0.20000000000000004 [3, 0.0, 0.4]
63 [3, 0.0, 0.4] 2 -0.7000000000000001 [3, 0.0, 0.4]
64 [3, 0.0, 0.4] 2 -0.20000000000000004 [3, 0.0, 0.4]
65 [3, 0.0, 0.4] 1 -0.20000000000000004 [3, 0.0, 0.4]
66 [3, 0.0, 0.4] 2 -0.20000000000000004 [3, 0.0, 0.4]
67 [3, 0.0, 0.4] 1 -0.7000000000000001 [3, 0.0, 0.4]
68 [3, 0.0, 0.4] 0 -0.6333333333333333 [2, 0.0, 0.4]
69 [2, 0.0, 0.4] 1 -0.13333333333333333 [2, 0.0, 0.4]
70 [2, 0.0, 0.4] 3 -0.6666666666666666 [2, 0.2, 0.5]
71 [2, 0.2, 0.5] 2 -0.16666666666666666 [2, 0.1, 0.5]
72 [2, 0.1, 0.5] 1 -0.6333333333333333 [2, 0.0, 0.4]
73 [2, 0.0, 0.4] 0 -0.5666666666666667 [1, 0.1, 0.4]
74 [1, 0.1, 0.4] 3 -0.5833333333333334 [1, 0.5, 0.5]
75 [1, 0.5, 0.5] 4 -0.16666666666666666 [2, 0.2, 0.5]
76 [2, 0.2, 0.5] 2 -0.16666666666666666 [2, 0.1, 0.5]
77 [2, 0.1, 0.5] 1 -0.6333333333333333 [2, 0.4, 0.4]
78 [2, 0.4, 0.4] 1 -0.4830479418219338 [2, 0.2, 0.4]
79 [2, 0.2, 0.4] 1 -0.13333333333333333 [2, 0.1, 0.4]
80 [2, 0.1, 0.4] 3 -0.6666666666666666 [2, 0.1, 0.5]
81 [2, 0.1, 0.5] 3 -0.7 [2, 0.0, 0.6]
82 [2, 0.0, 0.6] 2 -0.19999999999999998 [2, 0.2, 0.6]
83 [2, 0.2, 0.6] 4 -0.8 [3, 0.1, 0.6]
84 [3, 0.1, 0.6] 1 -0.75 [3, 0.4, 0.5]
85 [3, 0.4, 0.5] 4 -0.25 [3, 0.0, 0.5]
86 [3, 0.0, 0.5] 1 -0.7000000000000001 [3, 0.0, 0.4]
