0 [1, 0.0, 0.5] 4 -0.16666666666666666 [2, 0.5, 0.5]
1 [2, 0.5, 0.5] 1 -0.6333333333333333 [2, 0.0, 0.4]
2 [2, 0.0, 0.4] 1 -0.6333333333333333 [2, 0.0, 0.4]
3 [2, 0.0, 0.4] 1 -0.13333333333333333 [2, 0.0, 0.4]
4 [2, 0.0, 0.4] 2 -0.13333333333333333 [2, 0.0, 0.4]
5 [2, 0.0, 0.4] 2 -0.13333333333333333 [2, 0.0, 0.4]
6 [2, 0.0, 0.4] 1 -0.13333333333333333 [2, 0.0, 0.4]
7 [2, 0.0, 0.4] 1 -0.13333333333333333 [2, 0.0, 0.4]
8 [2, 0.0, 0.4] 3 -0.16666666666666666 [2, 0.0, 0.5]
9 [2, 0.0, 0.5] 3 -0.6514045261849987 [2, 0.0, 0.6]
10 [2, 0.0, 0.6] 1 -0.6666666666666666 [2, 0.0, 0.5]
11 [2, 0.0, 0.5] 2 -0.16666666666666666 [2, 0.0, 0.5]
12 [2, 0.0, 0.5] 4 -0.7155055041155014 [3, 0.0, 0.5]
13 [3, 0.0, 0.5] 1 -0.7000000000000001 [3, 0.0, 0.4]
14 [3, 0.0, 0.4] 1 -0.20000000000000004 [3, 0.0, 0.4]
15 [3, 0.0, 0.4] 2 -0.20000000000000004 [3, 0.0, 0.4]
16 [3, 0.0, 0.4] 4 -0.20000000000000004 [3, 0.0, 0.4]
17 [3, 0.0, 0.4] 1 -0.7000000000000001 [3, 0.0, 0.4]
18 [3, 0.0, 0.4] 0 -0.13333333333333333 [2, 0.0, 0.4]
19 [2, 0.0, 0.4] 4 -0.6074146771637499 [3, 0.0, 0.4]
20 [3, 0.0, 0.4] 4 -0.20000000000000004 [3, 0.0, 0.4]
21 [3, 0.0, 0.4] 2 -0.20000000000000004 [3, 0.0, 0.4]
22 [3, 0.0, 0.4] 4 -0.20000000000000004 [3, 0.0, 0.4]
23 [3, 0.0, 0.4] 0 -0.13333333333333333 [2, 0.0, 0.4]
24 [2, 0.0, 0.4] 4 -0.20000000000000004 [3, 0.0, 0.4]
25 [3, 0.0, 0.4] 0 -0.5278796813456319 [2, 0.0, 0.4]
26 [2, 0.0, 0.4] 4 -0.5598662705126899 [3, 0.0, 0.4]
27 [3, 0.0, 0.4] 4 -0.20000000000000004 [3, 0.0, 0.4]
28 [3, 0.0, 0.4] 4 -0.6991532606771678 [3, 0.1, 0.4]
29 [3, 0.1, 0.4] 4 -0.20000000000000004 [3, 0.0, 0.4]
30 [3, 0.0, 0.4] 1 -0.20000000000000004 [3, 0.0, 0.4]
31 [3, 0.0, 0.4] 1 -0.20000000000000004 [3, 0.0, 0.4]
32 [3, 0.0, 0.4] 2 -0.20000000000000004 [3, 0.0, 0.4]
33 [3, 0.0, 0.4] 0 -0.13333333333333333 [2, 0.0, 0.4]
34 [2, 0.0, 0.4] 0 -0.06666666666666667 [1, 0.0, 0.4]
